id,author,title,venue,address,publisher,editor,date,volume,pages
32,"utgoff, p.",shift of bias for inductive concept learning.,machine learning: an artificial intelligence approach:,los altos:,morgan kaufmann.,"in r. michal-ski, j. carbonell and t. mitchell (eds.),",(1986).,vol ii,(pp.  107-148
33,p e utgoff.,shift of bias for inductive concept learning.,machine learning: an artificial intelligence approach,,"morgan kaufmann,","in r s michalski, j g carbonell, and t m mitchell, editors,",1986.,(volume 2).,
34,"utgoff, paul e.",shift of bias for inductive concept learning.,machine learning. an artificial intelligence approach.,"los altos, ca,","morgan kauf-mann,","in michalski, ryszard s., car-bonell, jaime g., and mitchell, tom m., editors,",,"volume ii,",pages 107-148.
35,"utgoff, paul e.",shift of bias for inductive concept learning.,machine learning. an artificial intelligence approach.,"los altos, ca,","morgan kaufmann,","in michalski, ryszard s., carbonell, jaime g., and mitchell, tom m., editors,",1986.,"volume ii,",pages 107-148.
36,p. e.,"utgoff ""shift of bias for inductive concept learning""","in machine learning:  an artificial intelligence approach,",,morgan kaufmann.,,"1986,",,
37,"utgoff, p. e.",shift of bias for inductive concept learning.,"machine learning: an artificial intelligence approach,","los altos, ca,","morgan kaufmann,","in r. s. michalski, j. g. carbonell and t. m. mitchell, ed.,","1986,","volume ii,",pp. 107-148.
38,p. utgoff.,shift of bias for inductive concept learning.,"machine learning,","los altos, ca,","morgan kaufman,","in r. s. michalshi, j. g. carbonell, and t. m. mitchell, editors,",1986.,,page 107.
39,"ruby, d., & kibler, d.",learning subgoal sequences for planning.,in proceedings of aaai-91.,,aaai press.,,(1991).,,
40,d. ruby and d. kibler.,learning subgoal sequences for planning.,in proceedings of aaai-91.,,"aaai press,",,1991.,,
41,"ruby, d., and kibler, d.",learning episodes for optimization.,"in machine learning : proceedings of the ninth international workshop (ml92),",,,,1992.,,379-384.
42,david ruby and dennis kibler.,learning episodes for optimization.,"in machine learning : proceedings of the ninth international workshop (ml92),",,,,1992.,,"pages 379-384,"
43,"utgoff, p. e. and brodley c. e.",linear machine decision trees,,"department of computer science. amherst, ma: university of massachusetts,",,,(1991).,,
44,"utgoff, p. e., & brodley, c. e.",linear ma-chine decision trees.,,"university of massachusetts, amherst, ma.",,,(1991).,,
45,"utgoff, p. e., & brodley, c. e.","linear machine decision trees,",,"department of computer and information science. amherst, ma: university of massachusetts,",,,(1991).,,
46,"utgoff, p. e., & brodley, c. e.",linear machine decision trees.,,university of massachusetts at amherst.,,,(1991).,,
47,"utgoff, p. e., brodley, c. e.","linear machine decision trees,",,"dept. of computer science, university of massachusetts.",,,(1991).,,
48,paul e. utgoff and carla e. brodley.,linear machine decision trees.,,"university of massachusetts, amherst ma,",,,1991.,,
49,"brodley, c. e. & utgoff, p. e.","multivariate versus univariate decision trees,",,"department of computer science, university of mas-sachusetts, amherst, ma,",,,"(1992),",,
50,"brodley, c. e. & utgoff, p. e.","multivariate versus univariate decision trees,",,"department of computer science, university of massachusetts, amherst, ma,",,,"(1992),",,
51,"brodley, c. e. and utgoff, p. e.","multivariate versus univariate decision trees,",,"department of computer science, university of massachusetts, amherst, ma.",,,(1992).,,
52,"brodley, c. e., & utgoff, p. e.","multivariate versus univariate decision trees,",,"university of massachusetts, department of computer and information science. amherst, ma:",,,(1992).,,
53,"brodley, c. e., & utgoff, p. e.",multivariate versus univariate decision trees.,,"dept. of computer science, university of massachusetts atamherst",,,(1992).,,
54,"brodley, c. e., and utgoff, p. e.",multivariate versus univariate decision trees.,,"dept. of computer science, univ. of mass.",,,1992.,,
55,"c.e. brodley and p.e. ut-goff,",multivariate versus univariate decision trees.,,"department of computer science, university of massachusetts, amherst, massachusetts, usa,",,,1992.,,
56,"c.e. brodley and p.e. utgoff,",multivariate versus univariate decision trees.,,"department of computer science, university of massachusetts, amherst, ma,",,,1992.,,
57,"brodley, c. e., and utgoff, p. e.",multivariate versus univariate decision trees.,,"dept. of computer science, u. mass.",,,1992.,,
58,carla e. brodley and paul e. utgoff.,multivariate versus univariate decision trees.,,"dept. of computer science, university of massachusetts, amherst, ma,",,,january 1992.,,
59,"brodley, c.e., and utgoff, p.e.",multivariate versus univariate decision trees.,,"computer science dept., umass.",,,1992.,,
60,"b. a. draper, carla e. brodley, and paul e. utgoff.",goal-directed classification using linear machine decision trees.,"ieee trans. on pattern analysis and machine intelligence,",,,,1994.,16(9),":888,"
61,"draper, b. a., brodley, c. e. & utgoff, p. e.","`goal-directed classification using linear machine decision trees',",ieee transactions on pattern analysis and machine intelligence,,,,"(1994),","16(9),",888-893.
62,"draper, b. a., brodley, c. e., & utgoff, p. e.",goal-directed classification using linear machine decision trees.,"ieee transactions on pattern analysis and machine intelligence,",,,,(1994).,"16,",888-893.
63,"b. a. draper, carla e. brodley, and paul e. utgoff.",goal-directed classification using linear machine decision trees.,"ieee transactions on pattern analysis and machine intelligence,",,,,1994.,16(9):,"888,"
64,"b. a. draper, carla e. brodley, and paul e. utgoff.",goal-directed classification using linear machine decision trees.,"ieee transactions on pattern analysis and machine intelligence,",,,,1994.,16(9),":888,"
65,"bruce a. draper, carla e. brodley, and paul e. utgoff.",goal-directed classification using linear machine decision trees.,"ieee transactions on pattern analysis and machine intelligence,",,,,september 1994.,16(9),"888-893,"
66,"b. draper, c. e. brodley, and p. utgoff.",goal-directed classification using linear machine decision trees.,"ieee trans. on pattern analysis and machine intelligence,",,,,1994.,16(9):,
67,"b. draper, c. e. brodley, and p. utgoff.",goal-directed classification using linear machine decision trees.,"ieee trans. on pattern analysis and machine intelligence,",,,,,16(9):,
68,carla e. brodley and paul e. utgoff.,multivariate decision trees.,"machine learning,",,,,1995.,19,"45-77,"
69,"brodley, c. e. & utgoff, p. e.",", ""multivariate decision trees"",",machine learning.,,forthcoming.,,,,
70,"brodley, c. e. and utgoff p. e.",multivariate decision trees.,"machine learning,",,,,(1995).,"19,",45-77.
71,"brodley, c. e. and utgoff, p. e.","multivariate decision trees,",machine learning,,,,(1995).,19:,45-77.
72,"brodley, c. e., & utgoff, p. e.",(in press). multivariate decision trees.,machine learning.,,,,,,
73,"brodley, c. e., & utgoff, p. e.",multivariate decision trees.,"machine learning,",,,,(1994).,,
74,"brodley, c. e., & utgoff, p. e.",multivariate decision trees.,"machine learning,",,,,(1995).,"19 (1),",45-77.
75,"brodley, c. e., utgoff, p. e.","multivariate decision trees,","in machine learning,",,,,(1995).,"19,",45-77.
76,"brodley, c.e., and utgoff, p.e.","""multivariate decision trees"",","machine learning,",,,,"(1995),","19,",pp. 45-77.
77,c. e. brodley and p. e. utgoff.,multivariate decision trees.,"machine learning,",,,,1995.,19(1),"45-77,"
78,"brodley, c.e. and utgoff, p.e.","""multivariate decision trees"",","machine learning,",,,,,,
79,"c.e. brodley and p.e. utgoff,","""multivariate decision trees"",","machine learning,",,,,"1995,",,pp 45-57.
80,"brodley, c. e., and utgoff, p. e.",multivariate decision trees.,machine learning.,,,,1994.,,
81,carla brodley and paul utgoff.,"""linear machine decision trees,""",,,,,,,
82,"c.e. brodley and p.e. utgoff,","""multivariate decision trees"",","machine learning,",,,,1995.,,
83,c. brodley and p. utgoff.,multivariate trees.,"machine learning,",,,,1995.,"19,",
84,carla e. brodley and paul e. utgoff.,multivariate decision trees.,"machine learning,",,,,1995.,19(1),"45-78,"
85,"c.e. brodley and p.e. utgoff,",multivariate decision trees.,"machine learning,",,,,,"19,",45-77.
86,"c. brodley, p. utgoff,","""multivriate decision trees"",","machine learning,",,,,,,
87,c. e. brodley and p. e. utgoff.,goal-directed classification using linear machine decision trees.,"machine learning,",,,,1994.,,
88,c. e. brodley and p. e. ut-goff.,goal-directed classification using linear machine decision trees.,"machine learning,",,,,page  1994.,,
89,"b. draper, c. e. brodley, and p. utgoff.",goal-directed classification using linear machine decision trees.,"ieee trans. on pattern analysis and machine intelligence,",,,,1994.,,
90,c. e. brodley and p. e. utgoff.,goal-directed classification using linear machine decision trees.,"machine learning,",,,,,,
91,"steele, guy l., jr., fahlman, scott e., gabriel, richard p., moon, david a., weinreb, daniel l., bobrow, daniel g., demichiel, linda g., keene, sonya e., kiczales, gregor, perdue, crispin, pitman, kent m., waters, richard c., and white, jon l.",common lisp: the language (second edition).,,"massachusetts,","digital press (bedford,",,,,
92,"common lisp: the language (second edition). by guy l. steele jr., scott e. fahlman, richard p. gabriel, david a. moon, daniel l. weinreb, daniel g. bobrow, linda g. demichiel, sonya e. keene, gregor kiczales, crispin perdue, kent m. pitman, richard c. waters, and jon l white.",,,"bedford, massachusetts,","digital press,",,,,
93,"mitchell, t.m., p.e. utgoff, and r. banerji.",learning by experimentation: acquiring and refining problemsolving heuristics,"in machine learning: an artificial intelligence approach,","palo alto, california:",tioga publishing.,"ed. r.s.  michalski, j.g. carbonell, and t.m. mitchell,",1983.,,163-190.
94,"mitchell, t. m., utgoff, p. e. & banerji, r. b.",learning by experimentation: acquiring and refining problem-solving heuristics.,machine learning: an artificial intelligence approach,"san mateo, ca.","morgan kaufmann,","in r.s.  michalski, j.g. carbonell, & t.m. mitchell (eds.),",(1983).,"(vol. i),",
95,"mitchell, t. m., utgoff, p., & banerji, r.",(1983) learning by experimentation: acquiring and refining problem-solving heuristics.,machine leaning: an artificial intelligence approach,"san mateo, ca:",m. kaufmann.,"in r. michalski, j. carbonell, & t. mitchell (eds.),",,,(pp. 163-190).
96,"mitchell, t., utgoff, p. & banerji, r.","learning by experimentation: acquiring and refining problem-solving heuristics,","in ""machine learning, an artificial intelligence approach, volume i"",","palo alto, california:",tioga press.,,"(1983),",,
97,"mitchell, t., utgoff, p. & banerji, r.","learning by experimentation: acquiring and refining problem-solving heuristics,","in ""machine learning, an artificial intelligence approach,","palo alto, california:",tioga press.,,"(1983),","volume i"",",
98,"mitchell, t., utgoff, p. e., and banerji, r.",learning by experimentation: acquiring and refining problem-solving heuristics.,machine learning: an artificial intelligence approach.,"los altos, ca,","morgan kaufmann, inc.,","in r. s. michalski, j. g. carbonell and t. m. mitchell (eds.)",(1983).,,pp. 163-189.
99,"mitchell, t., utgoff, p., & banerji, r.",learning by experimentation: acquiring and refining problem solving heuristics.,"machine learning,","palo alto, ca.","tioga,","in michalski, r., carbonell, j., & mitchell, t. (eds.),",(1983).,,pp. 163-190.
100,"mitchell, t., utgoff, p., & banerji, r.",learning by experimentation: acquiring and refining problem-solving heuristics.,"machine learning: an artificial intelligence approach,",,morgan kaufmann.,"in michalski, r., & et al. (eds.),",(1983).,vol.1.,
101,"mitchell, t., utgoff, p., and banerji, r.",learning by experimentation: acquiring and refining problem-solving heuristics. in machine learning:,"an artificial intelligence approach, chapter 6,",,springer-verlag.,,(1984).,,pp. 163-190.
102,"mitchell, t., utgoff, t., & banerji, r.",learning problem solving heuristics by experimentation.,machine learning: an artificial intelligence approach.,"palo alto, ca.","morgan kaufmann,","in michalski, r., mitchell, t., & carbonell, j. (eds.),",(1983).,,
103,"mitchell, t., utgoff, t., and banerji, r.",learning problem solving heuristics by experimentation.,machine learning: an artificial intelligence approach.,"palo alto, ca:",morgan kaufmann.,"in michalski, r., mitchell, t., and carbonell, j., editors,",(1983).,,
104,"mitchell, t.m., utgoff, p., and banerji, r.","""learning by experimentation: acquiring and refining problem-solving heuristics."" in machine learning:","an artificial intelligence approach,",,,"(eds.). michalski et al.,",1983.,,
105,"mitchell, t.m., utgoff, p.e., and banerji, r.","learning by experimentation: acquiring and refining problem-solving heuristics, machine learning: an artificial intelligence approach,",,"san mateo, ca,","morgan kaufman publishers,","mitchell (eds.),   r.s. michalski, j.g. carbonell, and t.m.",1983.,,"pp. 163-189,"
106,"mitchell, t.m.; utgoff, p.e.; and banerji, r.b.",learning by experimentation: acquiring and refining problem-solving heuristics.,in machine learning.,,morgan kaufmann.,,1983.,,
107,"mitchell, t.m.; utgoff, p.e.; and banerji, r.b.",learning by experimentation: acquiring and refining problem-solving heuristics.,machine learning.,,morgan kaufmann.,,1983.,,
108,"mitchell,t.m., utgoff,p.e. & banerji,r.,",learning by experimentation: acquiring and refining problem solving heuristics¡±in machine learning¡±,,,tioga press,"eds michalski,  carbonell & mitchell,",(1983).,,
109,"t. mitchell, utgoff, p. and banerji, r.,","""learning by experimentation: acquiring and refining problemsolving heuristics,""","in machine learning:  an artificial intelligence approach,",,j.,"r. michalski,",,,
110,"t. m. mitchell, p. e. utgoff, and r. b. banerji.",learning by experimentation: acquiring and refining problem-solving heuristics.,machine learning: an artificial intelligence approach,,"morgan kaufmann,","in r. s. michalski, j. g. carbonell, and t. m. mitchell, editors,",1983.,(vol i).,
111,"tom m. mitchell, paul e. utgoff, and ranan banerji.",learning problem solving heuristics by experimentation.,"in machine learning:  an artificial intelligence approach,","palo alto, ca,","morgan kaufmann,",,1983.,,pages 163-190.
112,"tom mitchell, paul utgoff, and ranan banerji.",learning by experimentation: acquiring and refining problem-solving heuristics.,"in machine learning, an artificial intelligence approach,","palo alto, ca,","tioga press,",,1983.,volume i.,
113,"mitchell, t.; utgoff, p.; and banerji, r.",learning by experimentation: acquiring and refining problem-solving heuristics.,"machine learning: an artificial intelligence approach,",,morgan kaufmann.,"in michalski, r., and et al., eds.,",1983.,volume 1.,
114,"mitchell, t. m., utgoff, p. e. and banerji, r.,","learning by experimentation: acquiring and refining problemsolving heuristics,","machine learning : an artificial intelligence approach,","palo alto, california,","tioga,","in:r. s. michalski, j. g. carbonell and t. m. mitchell (eds.),",1983.,,
115,"t.m. mitchell, p.e. utgoff, and r.b. banerji.",learning by experimentation: acquiring and refining problem-solving heuristics.,machine learning.,"palo alto, ca,","tioga,","in j.g. carbonell r.s. michalski and t.m. mitchell, editors,",1983.,,
116,"t. mitchell, t. utgoff, and r. banerji.",learning problem solving heuristics by experimentation.,machine learning: an artificial intelligence approach.,"palo alto, ca,","morgan kaufmann,","in r. michalski, t. mitchell, and j. carbonell, editors,",1983.,,
117,"t. m. mitchell, p. e. utgoff, and r. b. banerji.",learning by experimentation: acquiring and refining problem-solving heuristics.,machine learning an artificial intelligence approach,,"morgan kaufmann,","in s. michalski, ryszard, g. carbonell, jaime, references 44 and t. m. mitchell, editors,",1983.,(volume i).,
118,"t.m. mitchell, p.e. utgoff, and r. banerji.",learning by experimentation: acquiring and refining problem solving heuristics.,"machine learning: an artificial intelligence approach,",palo alto:,"tioga publishing,","in r.s.  michalski, j.g. carbonell, and t.m. mitchell, editors,",1983.,"volume 1,",pages 163-190.
119,"t. m. mitchell, p. utgoff, and r. banerji.",learning by experimentation: acquiring and refining problem-solving heuristics.,"machine learning, vol.","palo alto, ca,","tioga,","in j. g. carbonell, r. s. michalski, and t. m. mitchell, editors,",1983.,"1,",
120,"t. m. mitchell, p. e. utgoff, and r. b. banerji.",learning by experimentation: acquiring and refining problem-solving heuristics.,"machine learning: an artificial intelligence approach,",,"morgan kaufmann,","in r. s. michalski, j. g. carbonell, and t. m. mitchell, editors,",1983.,volume 1.,
121,"mitchell, t. m., utgoff, p. e. and banerji, r. b.,","""learning by experimentation: acquiring and refining problem-solving heuristics,""","machine learning, an artificial intelligence approach,","palo alto, ca,","tioga press,","in r. s. michalski, j. g. carbonell and t. m. mitchell (eds.),",1983.,,
122,"tom m. mitchell, paul e. utgoff, and ranan banerji.","""learning by experimentation: acquiring and refining problem-solving heuristics","."" in machine 58 learning:  an artificial intelligence approach,","palo alto, ca","tioga publishing company,","michalski, ryszard s., car--bonell, jamie g., and mitchell, tom m. (eds).",(1983).,"volume i,",
123,"t. m. mitchell, p. e. utgoff, and r. banerji.",learning by experimentation : acquiring and refining problem-solving heuristics.,"machine learning : an artificial intelligence approach,","los altos, california,","morgan kaufmann,","in r. s. michalski, j. g. carbonell, and t. m. mitchell, editors,",1983.,"vol. 1.,",pages 163-190.
124,"utgoff, p. e., & mitchell, t. m.",acquisition of appropriate bias for inductive concept learning.,in proceedings of aaai-82.,"los altos, ca:",morgan-kaufmann.,,(1982).,,414-417.
125,"utgoff, p. e., & mitchell, t. m.",acquisition of appropriate bias for inductive concept learning.,proceedings of the second national conference on artificial intelligence,"pittsburgh, pa:",morgan kaufmann.,,(1982).,,(pp.  414-417).
126,p. e. utgoff and t. m. mitchell.,acquisition of appropriate bias for inductive concept learning.,"in proc. of aaai-82,","pittsburgh, pa,",,,1982.,,
127,paul utgoff and tom m. mitchell.,acquisition of appropriate bias for inductive concept learning.,"in aaai-82,",,,,1982.,,"pages 414-417,"
128,"fawcett, t. e. and utgoff, p. e.",a hybrid method for feature generation.,"in proceedings of the eighth international workshop on machine learning,",san mateo.,"morgan kaufmann,",ed. l. a. birnbaum and g. c. collins.,1991.,,137-141.
129,"fawcett, t. e., & utgoff, p. e.",a hybrid method for feature generation.,proceedings of the eighth international workshop on machine learning,"san mateo, ca:",morgan kaufmann.,,(1991).,,(pp. 137 -141).
130,"fawcett, t. e., & utgoff, p. e.",a hybrid method for feature generation.,machine learning:  proceedings of the eighth international workshop,"evanston, il:",morgan kaufmann.,,(1991).,,(pp. 137-141).
131,"fawcett, t. e., & utgoff, p. e.",a hybrid method for feature generation. machine learning:,proceedings of the eighth international workshop,"evanston, il:",morgan kaufmann.,,(1991).,,(pp. 137-141).
132,"fawcett, t.e. and utgoff, p.e.,","""a hybrid method for feature generation,""","proceedings of the eight international workshop on machine learning,","evanston, ill.,",,,1991.,,"pp. 137-141,"
133,"fawcett, t. and utgoff, p.",a hybrid method for feature generation.,proceedings of the eighth international workshop on machine learning,"evanston, ill.",,,(1991).,,(pp. 137-141).
134,"fawcett, t. e. & utgoff, p. e.","""automatic feature generation for problem solving systems"",","in proceeding of the 9th international workshop on machine learning,",,,,1992.,,"p144-153,"
135,"fawcett, t. and utgoff, p.",automatic feature generation for problem solving systems.,"in proceedings of the ninth international conference on machine learning,","university of aberdeen, uk,",morgan kaufmann.,,1992.,,"pages 144-153,"
136,"tom e. fawcett, paul e. utgoff.",automatic feature generation for problem solving systems.,,"amherst, ma.",,,jan 1992.,,
137,"t. e. fawcett and p. e. utgoff,","automatic feature generation for prob lem solving systems,",,"university of mas-sachusetts at amherst, ma, department of computer and information science,",,,"1992,",,
138,"tom fawcett and paul utgoff,","automatic feature generation for problem solving systems,",,,,,1992.,,
139,"t.e. fawcett and p.e. utgoff,",automatic feature generation for problem solving systems.,"proceedings of the ninth international workshop on machine learning,","san mateo, ca:","morgan kaufmann,",,,,144-153.
140,tom e. fawcett and paul e. utgoff.,automatic feature generation for problem solving systems.,"proceedings of the ninth interntational workshop on machine learning, aberdeen,","scotland,",,"in derek sleeman and peter edwards, editors,",1992.,,
141,"clouse, j. a. & utgoff, p. e.",a teaching method for reinforcement learning.,in proceedings of the ninth international conference on machine learning.,,"morgan kaufmann,","ed. d. sleeman, & p. edwards.",(1992).,,92-101.
142,"clouse, j. a., & utgoff, p. e.",a teaching method for reinforcement learning.,machine learning: proceedings of the ninth international conference,"san mateo, ca:",morgan kaufmann.,,(1992).,,(pp. 92-101).
143,"clouse, j., & utgoff, p.",a teaching method for reinforcement learning.,"in proceedings of the ninth international conference on machine learning,","aberdeen, scotland.",,,(1992).,,pp. 92-101
144,"clouse, j., & utgoff, p.",a teaching method for reinforcement learning.,"proc. 9th intl. ml conf.,",,,,1992.,,92-101.
145,"clouse, j., and utgoff, p.",a teaching method for reinforcement learning.,in proceedings of the machine learning conference.,,,,1992.,,
146,"clouse, j.a., & p.e. utgoff,",a teaching method for reinforcement learning.,"proceedings of the ninth conference on machine learning,","aberdeen, scotland,",,,1992.,,92-101.
147,j. clouse and p. utgoff.,a teaching method for reinforcement learning.,"in proceedings of the machine learning conference,",,,,1992.,,
148,j. a. clouse and p. e. utgoff.,a teaching method for reinforcement learning.,"in proceedings of the ninth international workshop on machine learning,",,"morgan kaufmann,",,1992.,,pages 92-101.
149,j. a. clouse and p. e. utgoff.,a teaching method for reinforcement learning.,in proceedings of the ninth conference on machine learning.,,"morgan kaufmann,",,1992.,,
150,"clouse, j.a., & utgoff, p.e.",a teaching method for reinforcement learning.,"in proceedings of the ninth international conference of machine learning,","san mateo, ca,","morgan kaufmann,",,(1992).,,92-101.
151,j. a. clouse and p. e. utgoff.,a teaching method for reinforcement learning.,"in proceedings of the ninth international conference on machine learning,",,"morgan kaufmann,",,1992.,,pages 92-101.
152,j.a. clouse and p.e. utgoff.,a teaching method for reinforcement learning.,"in machine learning: proceedings of teh ninth international conference,","san mateo, ca,",morgan kaufmann.,,1992.,,"pages 92-101,"
153,j. clouse and p. utgoff.,a teaching method for reinforcement learning.,"in proceedings of the ninth international conference on machine learning,","aberdeen, scotland,",morgan kaufman.,,1992.,,"pages 92-101,"
154,"schwartz, a.","a reinforcement learning method for maximizing undiscounted rewards,","""proceedings of the tenth international conference on machine learning"",",,morgan kaufmann.,"in p. utgoff, ed.,","(1993),",,
155,"schwartz, a.",a reinforcement learning method for maximizing undiscounted rewards.,"proceedings of the tenth international conference on machine learning,","san francisco, ca.",morgan kaufmann.,"in utgoff, p. (ed.),",(1993).,,pp. 298-305
156,"yee, r. c., saxena, s., utgoff, p. e. and barto, a. g.",explaining temporal differences to create useful concepts for evaluating states.,"in proceedings of the eighth national conference on artificial intelligence,","palo alto, ca. page 30 yoshio.","aaai press,",,1991.,,882-888.
157,"yee, r. c., saxena, s., utgoff, p. e., & barto, a. g.",explaining temporal differences to create useful concepts for evaluating states.,proceedings of the eighth national conference on artificial intelligence,"palo alto, ca:",aaai press.,yoshio.,(1990).,,(pp. 882-888).
158,"yee, r. c., saxena, s., utgoff, p. e., & barto, a. g.",explaining temporal differences to create useful concepts for evaluating states.,"in proceedings of the eight national conference on artificial intelligence (aaai-90),","882-888 cambridge, ma.",aaai press/mit press.,,(1990).,,pp.
159,"r.c. yee, s. saxena, p.e. utgoff, and a.g. barto.",explaining temporal differences to create useful concepts for evaluating states.,"in proceedings of the eighth national conference on artificial intelligence,","cambridge, ma,",,,1990.,,"pages 882-888,"
160,"richard c. yee, sharad saxena, paul e. utgoff, and andrew c. barto.",explaining temporal-differences to create useful concepts for evaluating states.,"in proceedings of aaai-90,",,,,1990.,18,
